视频标题,弹幕数,网址,bvid,页数
日本东电决定当地时间今天13点开始排放核污染水,2101,http://www.bilibili.com/video/av362706639,BV1694y1z7fh,5
国际原子能机构报告不能成为日方排海“通行证”,628,http://www.bilibili.com/video/av617656387,BV1fh4y1K7Yq,5
福岛“核污染水排海”述评二：用“处理水”偷换概念,5,http://www.bilibili.com/video/av402614296,BV1Co4y1P7g6,5
日本政府宣布将启动核污染水排海 汪文斌：中方将采取一切必要措施维护食品安全和公众健康,2145,http://www.bilibili.com/video/av317577715,BV11P411p7tC,5
外交部：核污染水排海不是个别国家“开绿灯”就可畅行无阻,8,http://www.bilibili.com/video/av447801521,BV15j41127kY,5
核污染水排海不是个别国家“开绿灯”就可畅行无阻，日方对此不应视而不见，更不能自欺欺人。,0,http://www.bilibili.com/video/av830267978,BV1ju4y1D7Ti,5
警惕！日方加速推进核污染水排海计划,201,http://www.bilibili.com/video/av399509925,BV1ao4y1E7sE,5
排海口附近画面 | 北京时间12点，日本核污染水开始排海,763,http://www.bilibili.com/video/av702739005,BV1Em4y1u7Uj,5
日本启动核污染水排海，生态环境部：将持续监测，维护我国家利益和人民健康,40,http://www.bilibili.com/video/av405236064,BV1WG411Z76k,5
离谱！为了“洗白”核污染水 日本有多“拼”？,329,http://www.bilibili.com/video/av314692728,BV1aP411B7dA,5
日方应立即停止核污染水排海，以负责任方式回应国际社会关切,277,http://www.bilibili.com/video/av830408789,BV1Mu4y1Q78b,5
韩国民众于日本驻济州总领事馆前举行集会 反对日本核污染水排海,5,http://www.bilibili.com/video/av275466396,BV1qF411k7Tf,5
日本计划今年4次排放核污染水,102,http://www.bilibili.com/video/av320205953,BV1Mw411Q7cj,5
日本福岛核污染水排海设备开始试运行,1343,http://www.bilibili.com/video/av954668762,BV1HW4y1974f,5
岸田吃福岛海鲜 被质疑为啥不喝核污染水,514,http://www.bilibili.com/video/av363108886,BV1294y1s7ru,6
总台记者探访丨日本决定核污染水排海一年后 福岛民众充满担忧与无奈,519,http://www.bilibili.com/video/av383246476,BV1JZ4y1m7w6,6
即将排海的核污染水中究竟有什么？,402,http://www.bilibili.com/video/av358307973,BV1SX4y1e7AZ,6
日本福岛核污染水排海设备开始试运行,1343,http://www.bilibili.com/video/av954668762,BV1HW4y1974f,6
福岛环保人士呼吁叫停核污染水排海：不能给子孙后代留下伤痛,12,http://www.bilibili.com/video/av320319270,BV1Qw411Q77y,6
日本福岛核污染水首次排海将持续17天左右,221,http://www.bilibili.com/video/av660195453,BV1th4y1U7rQ,6
日本宣布24日启动福岛核污染水排海 外交部：此举极端自私、极不负责任,312,http://www.bilibili.com/video/av787546295,BV1V14y117wq,6
日本政府宣布将启动核污染水排海，外交部：中方将采取一切必要措施维护海洋环境，维护食品安全和公众健康,96,http://www.bilibili.com/video/av960035732,BV1cp4y1K7mL,6
中方敦促日方倾听国际社会呼声，停止强推核污染水排海计划,2981,http://www.bilibili.com/video/av403631706,BV17V411K75D,6
日本公布核污染水排海正式启动现场画面,45,http://www.bilibili.com/video/av447646442,BV1Yj411q71x,6
日本多地民众在福岛集会抗议核污染水排海,32,http://www.bilibili.com/video/av787248412,BV1414y1v7zJ,6
韩国市民团体代表访日 反对核污染水排海,542,http://www.bilibili.com/video/av701579622,BV1Qm4y1s7ZN,6
日本政府正式启动福岛第一核电站的核污染水排入大海。,8,http://www.bilibili.com/video/av532663150,BV15u411E72y,6
办公室老外听到日本排放核污染水之后,613,http://www.bilibili.com/video/av490202040,BV1cN411z74t,6
外交部：日方极端自私 中方有权采取防范措施,176,http://www.bilibili.com/video/av957645046,BV1Mp4y1E7kX,6
